uid,batch_num,candidate_num,date_folder,exp,channel,file_num,start_time_file_sec,stop_time_file_sec,next_call_type,next_call_gap_s
2025_03_235_30_060_28069,3,2,2025_03,235,30,60,28.068736,28.1518,stacks,0.049416
2025_03_235_30_060_4671,3,3,2025_03,235,30,60,4.670848,4.700792,stacks,0.009992
2025_03_235_30_060_49676,3,4,2025_03,235,30,60,49.67552,49.751296,stacks,0.006912
2025_03_235_30_060_499,3,5,2025_03,235,30,60,0.499072,0.53568,stacks,0.013056
2025_03_235_30_060_55085,3,6,2025_03,235,30,60,55.084672,55.12832,stacks,0.019968001
2025_03_235_30_060_5962,3,7,2025_03,235,30,60,5.96224,6.003456,stacks,0.000896
2025_03_235_30_060_6292,3,8,2025_03,235,30,60,6.29248,6.351096,stacks,0.0466
2025_03_235_30_060_65575,3,9,2025_03,235,30,60,65.57504,65.645952,stacks,0.026232
2025_03_235_30_060_906,3,10,2025_03,235,30,60,0.9056,0.959616,stacks,0.029056
2025_03_235_30_077_131672,3,11,2025_03,235,30,77,131.67232,131.727224,stacks,0.007944
2025_03_235_30_077_133508,3,12,2025_03,235,30,77,133.508096,133.537536,stacks,0.016768
2025_03_235_30_077_133782,3,13,2025_03,235,30,77,133.782144,133.819904,stacks,0.00448
2025_03_235_30_081_181157,3,15,2025_03,235,30,81,181.156608,181.209208,stacks,0.008328
2025_03_235_30_081_211443,3,16,2025_03,235,30,81,211.442944,211.478528,stacks,0.042751999
2025_03_235_30_081_213493,3,17,2025_03,235,30,81,213.493248,213.51948,stacks,0.021384
2025_03_235_30_082_316553,3,18,2025_03,235,30,82,316.553216,316.591352,stacks,0.016904
2025_03_235_30_082_317259,3,19,2025_03,235,30,82,317.259264,317.282176,stacks,0.007168
2025_03_235_30_082_317522,3,20,2025_03,235,30,82,317.522304,317.565816,stacks,0.02036
2025_03_235_30_082_317855,3,21,2025_03,235,30,82,317.854592,317.89184,stacks,0.006528
2025_03_235_30_082_318127,3,22,2025_03,235,30,82,318.126848,318.151424,stacks,0.023552
2025_03_235_30_082_319628,3,23,2025_03,235,30,82,319.62752,319.654272,stacks,0.00704
2025_03_235_30_082_323948,3,24,2025_03,235,30,82,323.947904,324.004984,stacks,0.006024
2025_03_235_30_082_325645,3,25,2025_03,235,30,82,325.644672,325.663616,stacks,0.004864
2025_03_235_30_082_327144,3,26,2025_03,235,30,82,327.143808,327.183616,stacks,0.009472
2025_03_235_30_082_327466,3,27,2025_03,235,30,82,327.465728,327.486464,stacks,0.029184
2025_03_235_30_082_331830,3,28,2025_03,235,30,82,331.829888,331.90656,stacks,0.012032
2025_03_235_30_083_251695,3,29,2025_03,235,30,83,251.695104,251.748352,stacks,0.015488
2025_03_235_30_083_258771,3,30,2025_03,235,30,83,258.77056,258.809088,stacks,0.003072
2025_03_235_30_084_167079,4,1,2025_03,235,30,84,167.079168,167.17056,stacks,0.000896
2025_03_235_30_084_172992,4,2,2025_03,235,30,84,172.992256,173.01504,stacks,0.001152
2025_03_235_30_085_197713,4,3,2025_03,235,30,85,197.712512,197.74016,stacks,0.034304
2025_03_235_30_085_200762,4,4,2025_03,235,30,85,200.761728,200.8,stacks,0.020352
2025_03_235_30_085_202402,4,5,2025_03,235,30,85,202.402304,202.438272,stacks,0.013312
2025_03_235_30_085_215127,4,6,2025_03,235,30,85,215.126528,215.225592,stacks,0.005384
2025_03_235_30_085_216378,4,7,2025_03,235,30,85,216.377984,216.455936,stacks,0.0128
2025_03_235_30_087_289340,4,8,2025_03,235,30,87,289.33952,289.382272,stacks,0.000256
2025_03_235_30_089_289382,4,9,2025_03,235,30,89,289.382016,289.420928,stacks,0.030848
2025_03_235_30_095_182116,4,10,2025_03,235,30,95,182.116352,182.137976,stacks,0.018056
2025_03_235_30_095_286318,4,11,2025_03,235,30,95,286.318336,286.422016,stacks,0.022528
2025_03_235_30_096_109140,4,12,2025_03,235,30,96,109.13984,109.173496,stacks,0.029576
2025_03_235_30_096_120637,4,13,2025_03,235,30,96,120.637056,120.655232,stacks,0.013952
2025_03_235_30_096_149729,4,14,2025_03,235,30,96,149.729152,149.775232,stacks,0.023168
2025_03_235_30_096_150330,4,15,2025_03,235,30,96,150.329728,150.36876,stacks,0.023432
2025_03_235_30_096_175113,4,16,2025_03,235,30,96,175.112576,175.17696,stacks,0.011136
2025_03_235_30_096_175473,4,17,2025_03,235,30,96,175.472896,175.563896,stacks,0.042504
2025_03_235_30_096_184112,4,18,2025_03,235,30,96,184.111744,184.174464,stacks,0.03072
2025_03_235_30_096_191052,4,19,2025_03,235,30,96,191.051904,191.087488,stacks,0.00768
2025_03_235_30_096_195769,4,20,2025_03,235,30,96,195.769344,195.80876,stacks,0.041736
2025_03_235_30_096_196038,4,21,2025_03,235,30,96,196.03776,196.08384,stacks,0.000896
2025_03_235_30_096_196321,4,22,2025_03,235,30,96,196.320896,196.354552,stacks,0.018824
2025_03_235_30_096_196629,4,23,2025_03,235,30,96,196.629376,196.732664,stacks,0.028808
2025_03_235_30_096_199175,4,24,2025_03,235,30,96,199.174912,199.233528,stacks,0.018312
2025_03_235_30_096_200814,4,25,2025_03,235,30,96,200.813952,200.859384,stacks,0.034824
2025_03_235_30_096_201129,4,26,2025_03,235,30,96,201.128832,201.154176,stacks,0.03072
2025_03_235_30_096_201465,4,27,2025_03,235,30,96,201.465088,201.506304,stacks,0.002816
2025_03_235_30_096_201715,4,28,2025_03,235,30,96,201.715456,201.78636,stacks,0.012936
2025_03_235_30_096_202723,4,29,2025_03,235,30,96,202.722688,202.789112,stacks,0.009608
2025_03_235_30_096_203951,4,30,2025_03,235,30,96,203.951232,204.00128,stacks,0.006144
2025_03_235_30_096_204350,5,1,2025_03,235,30,96,204.350208,204.373624,stacks,0.009096
2025_03_235_30_096_205968,5,2,2025_03,235,30,96,205.968256,206.010752,stacks,0.038528
2025_03_235_30_096_206428,5,3,2025_03,235,30,96,206.428032,206.491384,stacks,0.017416
2025_03_235_30_096_206759,5,4,2025_03,235,30,96,206.758656,206.811264,stacks,0.000512
2025_03_235_30_096_207345,5,5,2025_03,235,30,96,207.345024,207.37996,stacks,0.010888
2025_03_235_30_096_207893,5,6,2025_03,235,30,96,207.893376,207.952632,stacks,0.011528
2025_03_235_30_096_209396,5,7,2025_03,235,30,96,209.395712,209.421952,stacks,0.007936
2025_03_235_30_096_216876,5,8,2025_03,235,30,96,216.875904,216.91916,stacks,0.018824
2025_03_235_30_096_223577,5,9,2025_03,235,30,96,223.576832,223.615616,stacks,0.019328
2025_03_235_30_096_225876,5,10,2025_03,235,30,96,225.875584,225.955448,stacks,0.018312
2025_03_235_30_096_226815,5,11,2025_03,235,30,96,226.815104,226.923648,stacks,0.004096
2025_03_235_30_096_227266,5,12,2025_03,235,30,96,227.265536,227.334776,stacks,0.020488
2025_03_235_30_096_227827,5,13,2025_03,235,30,96,227.827328,227.868152,stacks,0.00948
2025_03_235_30_096_228098,5,14,2025_03,235,30,96,228.098432,228.126848,stacks,0.004736001
2025_03_235_30_096_228723,5,15,2025_03,235,30,96,228.722816,228.7712,stacks,0.023808
2025_03_235_30_096_229641,5,16,2025_03,235,30,96,229.640832,229.675896,stacks,0.014088
2025_03_235_30_096_241888,5,17,2025_03,235,30,96,241.887872,241.927928,stacks,0.012168
2025_03_235_30_096_243188,5,18,2025_03,235,30,96,243.188224,243.229432,stacks,0.013064
2025_03_235_30_098_275927,5,20,2025_03,235,30,98,275.926912,275.968512,stacks,0.047999999
2025_03_235_30_098_291112,5,21,2025_03,235,30,98,291.112064,291.137152,stacks,0.032256
2025_03_235_30_098_302472,5,22,2025_03,235,30,98,302.471936,302.524152,stacks,0.007688001
2025_03_235_30_098_328641,5,23,2025_03,235,30,98,328.64128,328.675712,stacks,0.033024
2025_03_235_30_098_329829,5,24,2025_03,235,30,98,329.829376,329.872896,stacks,0.002048
2025_03_235_30_098_335972,5,25,2025_03,235,30,98,335.97248,336.016768,stacks,0.004096
2025_03_235_30_098_339086,5,26,2025_03,235,30,98,339.08608,339.154048,stacks,0.006144
2025_03_235_30_098_345295,5,27,2025_03,235,30,98,345.29536,345.33184,stacks,0.003456
2025_03_235_30_098_346577,5,28,2025_03,235,30,98,346.57664,346.602872,stacks,0.014088
2025_03_235_30_098_347159,5,29,2025_03,235,30,98,347.159296,347.19308,stacks,0.020104
2025_03_235_30_098_353184,5,30,2025_03,235,30,98,353.183872,353.231872,stacks,0.001536
2025_03_235_30_099_156796,6,1,2025_03,235,30,99,156.79616,156.81728,stacks,0.00256
2025_03_235_30_099_1573,6,2,2025_03,235,30,99,1.573248,1.62636,stacks,0.011016
2025_03_235_30_099_34745,6,3,2025_03,235,30,99,34.744832,34.773496,stacks,0.007432
2025_03_235_30_099_3698,6,4,2025_03,235,30,99,3.697792,3.747968,stacks,0.020608
2025_03_235_30_099_66181,6,5,2025_03,235,30,99,66.180736,66.193912,stacks,0.037768
2025_03_235_30_099_66801,6,6,2025_03,235,30,99,66.801152,66.823936,stacks,0.01792
2025_03_235_30_099_67154,6,7,2025_03,235,30,99,67.153792,67.175424,stacks,0.033024
2025_03_235_30_099_67788,6,8,2025_03,235,30,99,67.788032,67.815808,stacks,0.00064
2025_03_235_30_099_68060,6,9,2025_03,235,30,99,68.060416,68.101888,stacks,0.000128
2025_03_235_30_099_68713,6,10,2025_03,235,30,99,68.712576,68.77644,stacks,0.01396
2025_03_235_30_099_77451,6,11,2025_03,235,30,99,77.451392,77.482752,stacks,0.034303999
2025_03_235_30_099_79933,6,12,2025_03,235,30,99,79.933184,79.951232,stacks,0.001664
2025_03_235_30_099_80184,6,13,2025_03,235,30,99,80.184448,80.221312,stacks,0.025344
2025_03_235_30_099_80877,6,14,2025_03,235,30,99,80.87744,80.937848,stacks,0.009864
2025_03_235_30_100_196845,6,15,2025_03,235,30,100,196.845184,196.86528,stacks,0.023424
2025_03_235_30_100_79421,6,16,2025_03,235,30,100,79.42144,79.451384,stacks,0.011656
2025_03_235_30_103_247545,6,17,2025_03,235,30,103,247.545344,247.5968,stacks,0.00448
2025_03_235_30_103_248456,6,18,2025_03,235,30,103,248.455936,248.485504,stacks,0.012544
2025_03_235_30_103_249805,6,19,2025_03,235,30,103,249.8048,249.864448,stacks,0.021248
2025_03_235_30_103_255815,6,20,2025_03,235,30,103,255.81504,255.867648,stacks,0.002688
2025_03_235_30_103_256444,6,21,2025_03,235,30,103,256.444032,256.509568,stacks,0.000896
2025_03_235_30_103_257026,6,22,2025_03,235,30,103,257.026296,257.072896,stacks,0.000256
2025_03_235_30_103_260818,6,23,2025_03,235,30,103,260.818176,260.857728,stacks,0.004736
2025_03_235_30_104_167940,6,24,2025_03,235,30,104,167.940352,167.989632,stacks,0.001024
2025_03_235_30_104_171948,6,25,2025_03,235,30,104,171.947776,171.984512,stacks,0.010752
