exp,file_num,t_entry
506,64,337.2445
493,45,286.1999
521,1,353.1144
565,37,108.0798
508,59,117.4385
517,86,284.8853
513,72,250.8942
506,46,184.9582
496,8,246.9238
513,51,146.3494
526,14,237.4605
565,96,19.8935
555,12,318.0540
497,172,195.0527
541,9,67.7978
519,112,305.5781
516,2,73.3700
517,196,314.2664
517,190,332.9647
517,30,296.1234
526,42,137.9315
497,207,322.4120
519,90,199.4177
501,11,161.4018
494,27,12.1162
548,157,282.5130
512,98,342.0697
521,51,106.9864
512,114,347.9165
493,21,185.4504
518,6,93.0780
565,96,291.8529
493,117,247.7844
555,87,85.9997
493,115,181.6194
519,82,111.7337
493,3,117.0647
505,13,55.5580
513,173,266.4603
526,14,207.4204
494,31,68.2243
517,61,111.4721
501,29,180.4491
517,57,310.9381
519,19,96.8952
545,73,203.8498
557,67,189.8168
517,141,251.3254
550,22,164.4837
545,171,233.8029
506,55,245.6099
504,67,295.1874
504,200,266.7054
504,9,89.8133
549,4,251.8742
493,58,82.3431
555,118,266.3371
517,141,81.7122
505,86,163.4009
545,177,132.9911
513,172,298.7222
493,113,45.6551
508,57,80.6360
549,5,194.9953
548,113,342.7157
517,190,299.6580
513,49,209.6329
555,6,145.3981
504,128,338.7689
501,89,216.3293
565,33,121.8340
506,32,219.8794
548,151,135.1296
513,27,6.8186
518,2,233.0578
545,169,297.6693
517,86,216.2816
521,0,77.3765
517,126,334.8757
505,12,228.0014
504,111,165.9739
505,179,233.4901
548,115,219.7227
504,38,207.2059
505,185,40.3739
517,177,310.0108
515,18,130.2336
497,122,120.8331
504,108,346.8189
505,46,331.1615
516,3,342.8699
505,76,153.8076
517,97,231.3423
508,60,162.1456
545,172,249.0105
534,10,44.5747
501,162,320.7944
512,97,240.3315
504,68,123.5367
512,110,171.8885
517,180,75.2317
506,27,7.7826
497,198,236.5371
501,106,149.0771
513,126,86.5466
493,16,33.6465
504,9,248.3515
514,10,55.6836
499,16,79.9869
501,205,138.6284
497,8,58.4513
552,75,138.6391
552,76,300.6119
506,15,196.8276
519,85,237.7806
514,13,57.1384
555,94,15.8856
504,52,299.1582
504,149,296.8403
565,97,223.0602
493,122,287.8190
526,80,118.7756
493,21,152.3277
498,4,260.6412
552,87,194.2457
516,4,73.2141
493,36,174.5427
565,101,296.2050
512,1,86.0674
493,11,112.5157
493,21,21.3919
512,66,215.4207
501,172,350.7960
497,199,289.4812
526,34,143.9873
557,44,144.8747
513,45,222.9085
504,9,72.2224
518,1,194.9042
505,124,322.7503
513,70,343.2037
552,7,69.0065
544,11,267.2855
555,164,317.2009
534,6,234.0823
541,6,229.9919
519,82,41.4060
512,37,185.5660
501,135,133.3674
505,9,304.2269
535,27,194.7966
517,20,30.5036
513,60,289.0346
501,202,162.5312
526,106,84.9207
519,110,156.6210
505,183,109.0674
497,167,12.6764
529,13,71.4544
505,48,162.2812
521,1,30.5708
497,174,126.9243
513,17,227.7734
535,25,148.9931
501,190,155.6804
497,7,93.3670
518,8,196.2823
545,175,231.5605
512,1,251.1840
555,39,115.6509
506,38,264.1442
527,9,154.8607
517,139,174.8867
501,130,155.3209
552,91,140.7553
527,11,164.0178
493,51,89.7956
534,8,190.8208
565,98,225.4441
526,12,179.3488
517,92,209.6147
508,39,37.6753
550,1,216.1411
497,97,169.8691
501,174,55.2074
504,159,37.6155
548,153,284.0791
505,184,340.1942
545,171,141.0505
512,60,306.4556
498,4,163.1084
518,13,98.4186
501,208,100.6579
493,16,12.6229
552,61,65.9909
508,17,39.0112
555,41,173.2169
501,185,113.4225
552,91,255.8029
504,20,295.2618
513,69,83.3390
512,97,271.1748
497,6,181.8306
552,72,337.6157
512,90,76.0341
519,98,12.9742
494,1,165.6762
517,191,288.7818
515,10,125.8326
565,95,138.1308
505,9,350.1861
513,43,85.9799
493,52,354.6169
498,5,190.1796
497,98,91.1731
497,170,323.6109
505,8,294.9019
505,101,227.3070
493,12,232.4698
548,157,24.2463
555,100,313.0498
506,17,60.6593
517,161,118.3197
517,193,204.0647
519,24,107.6869
501,186,31.6195
493,97,27.5100
497,123,168.5015
497,154,304.5582
505,124,99.0003
513,66,116.4519
565,34,30.8276
501,221,180.9521
514,4,80.5800
541,19,91.6648
555,11,190.6001
494,25,275.8248
534,12,116.2753
513,30,132.2173
565,95,347.9213
518,5,82.1768
506,41,173.8192
501,114,104.2273
493,41,260.3762
545,179,15.1553
512,56,39.2474
545,132,93.2700
548,152,152.6661
505,14,282.4118
513,45,111.6013
493,50,35.1795
548,90,68.3376
497,6,307.1621
530,9,57.8194
519,110,250.0395
534,15,42.9872
552,7,77.0134
493,90,37.5719
519,189,338.7171
504,65,300.2717
513,138,90.6831
504,69,248.6344
497,93,210.4097
504,82,171.5911
517,122,14.0444
513,183,171.7692
505,64,95.0442
526,93,235.7955
517,164,200.6719
545,168,326.7121
493,118,162.8922
496,9,352.1606
522,12,341.8529
517,190,147.0227
555,71,311.8751
505,87,8.8692
545,82,86.0029
505,78,4.0714
513,103,147.4553
565,33,212.3885
545,169,190.6128
497,157,143.6024
497,68,352.9903
512,10,307.0759
513,21,47.2505
519,193,151.0622
505,89,142.5663
510,15,55.1483
526,16,203.9092
517,63,177.6881
501,207,224.0083
506,17,267.2663
504,95,53.9092
526,70,90.9093
565,125,238.7372
504,65,331.5284
505,126,88.3167
505,5,13.1764
497,156,277.0047
519,68,181.9453
508,58,16.3948
519,175,242.4709
513,129,41.6199
545,165,59.1471
517,175,35.5433
497,104,155.7395
497,68,235.2631
501,225,301.8866
565,80,274.5374
550,4,240.9375
497,175,99.0662
518,11,228.9637
519,149,17.7991
504,10,164.1919
504,67,280.4257
517,192,245.6679
521,50,106.8609
526,71,60.5583
548,153,79.6472
513,80,86.5858
519,58,11.8111
548,122,116.9085
517,78,297.0899
501,133,223.7047
545,123,163.2627
504,37,332.7648
545,175,267.2783
517,165,137.7595
501,163,335.7289
545,86,176.4021
499,11,131.4462
519,141,180.6242
513,108,145.6596
525,2,181.6922
501,134,84.4186
555,26,227.0382
565,93,240.7827
519,154,118.7761
493,120,276.9265
565,12,231.3035
504,191,264.1583
497,27,79.8119
513,128,178.0434
504,94,14.3151
508,58,206.5885
519,187,350.8100
501,79,213.9361
525,11,183.0353
512,25,239.9937
512,57,48.6165
557,68,95.7167
493,26,294.0275
501,145,13.2808
517,138,266.4281
505,188,353.4233
513,175,254.8973
