exp,file_num,t_entry,motion_pre,p_occupied
527,10,135.1229,0.0023539149888143,0.989505925346894
519,115,208.7132,1.1185682326621925e-06,0.8270633252033109
505,132,93.0753,0.0034612975391498,0.995118771398727
508,55,276.6567,0.0028127516778523,0.913199742804205
506,28,100.1256,6.532438478747204e-05,0.9113894234152156
492,11,217.8941,1.3422818791946309e-06,0.9419728624183824
504,99,7.1985,0.0009199105145413,0.9900271593235388
565,99,241.0278,0.0004140939597315,0.998532811085179
513,142,109.7057,0.0012270693512304,0.9006521301979238
548,2,342.2333,0.0001961968680089,0.958077119139541
517,125,46.4786,0.0,0.8306124040747221
521,53,202.8939,0.0035064876957494,0.6979888403165839
497,213,63.615,0.0007686800894854,0.6033732894704432
526,32,277.8972,0.0,0.6262007714500095
519,130,236.806,0.0,0.4406213244014189
517,118,309.0508,0.0,0.439279911079642
497,35,129.7154,0.0004736017897091,0.9893821543145108
497,206,148.1351,0.002907158836689,0.9200506590524432
565,126,16.4724,0.0018738255033557,0.6292809071105991
513,185,74.6796,0.0009731543624161,0.8786024942694489
519,123,193.2795,0.0,0.6268153320488912
494,1,147.1843,0.0006156599552572,0.7314690249865009
497,114,143.4649,4.47427293064877e-07,0.8678300089095272
513,104,166.466,0.0001357941834451,0.9858422018805932
518,8,106.2327,0.0024393736017897,0.9768009346144956
548,115,49.633,0.0,0.7370990399343605
545,174,66.2075,0.0018060402684563,0.9899127438152217
518,8,252.0946,0.0,0.9432105083459684
501,36,138.7494,0.0019400447427293,0.9695492420322523
521,50,248.5848,0.0020252796420581,0.9715911756444406
504,68,147.5888,0.0031422818791946,0.9901323573523272
504,182,314.1289,0.0,0.3769977418275222
518,24,273.9581,0.0020532438478747,0.9845438331172708
550,1,58.0053,0.0033557046979865,0.99032039224363
516,1,159.0899,6.353467561521253e-05,0.981914768927538
505,193,310.3129,0.0018067114093959,0.5788367823849017
493,108,6.2267,8.859060402684565e-05,0.9971878127032888
548,160,158.8036,0.0001653243847874,0.9634526977279728
505,179,126.4934,0.0018664429530201,0.3695008209342417
508,38,171.5145,0.0001118568232662,0.7701934455365331
517,122,199.0824,0.0009116331096196,0.8904987695159045
530,9,150.3325,0.003762192393736,0.9952128937186694
512,57,349.3863,0.0006123042505592,0.9023321267708804
526,40,205.7694,0.0,0.7358405387980174
497,190,253.665,2.237136465324385e-07,0.8423725201642102
497,191,12.1601,0.002552125279642,0.9818241913447192
545,170,46.3878,6.80089485458613e-05,0.9944687887963088
527,0,126.3328,0.0022507829977628,0.6255673313701603
494,33,145.0423,2.237136465324385e-07,0.9456833962399852
516,6,297.0349,2.237136465324385e-07,0.4397589708020319
493,86,211.0865,0.001300447427293,0.9083098122770432
519,42,203.7549,0.0034344519015659,0.9868259323148828
506,43,38.6071,0.0012409395973154,0.993179369120602
565,22,191.6919,8.7248322147651e-05,0.9727396162214792
508,8,138.4566,0.0013977628635346,0.993135660661132
508,60,287.0473,0.000745413870246,0.9968790098914808
492,12,286.9691,1.3422818791946309e-06,0.9544191210898476
521,13,246.0321,0.0014194630872483,0.9212441272402336
512,57,211.042,0.0029268456375838,0.8947127157470784
545,72,304.4462,8.948545861297539e-07,0.9847269621799372
548,115,247.853,0.0002042505592841,0.7748277970132518
513,138,111.7755,6.711409395973154e-07,0.8559112690171714
517,44,298.5428,0.001648769574944,0.9933971439602268
497,23,301.7989,0.0,0.1425199110885927
549,15,274.7889,0.0021879194630872,0.9225092817491174
506,66,49.7166,0.0001914988814317,0.9978797283126448
519,193,51.9308,0.0009800894854586,0.9541476182300722
505,160,289.3138,0.0027852348993288,0.9812557523217144
565,100,33.5776,0.000931543624161,0.9112858328376492
501,166,312.8658,0.0003536912751677,0.967737989840508
519,205,93.1979,0.0020192393736017,0.9419600491327028
545,164,118.1149,0.0019228187919463,0.9941151654023596
505,88,64.4123,0.0014955257270693,0.9966035320078992
514,12,160.5269,0.0014127516778523,0.9945992242232444
519,79,182.8351,0.0,0.4789436874370807
541,18,182.7159,0.0005894854586129,0.4807214191506326
505,160,312.9173,0.002079418344519,0.8738130510379836
493,114,106.7989,0.0024494407158836,0.9936081394466776
504,117,219.6355,0.0016507829977628,0.993298106315711
493,92,79.924,0.0030375838926174,0.8789796716744226
517,127,106.8344,4.47427293064877e-07,0.9819518834273406
548,155,338.2229,0.000741610738255,0.9972837644337262
517,138,299.9464,0.0017409395973154,0.9564464768514874
517,121,302.6922,0.0,0.4238423609611623
504,196,223.1303,5.995525727069351e-05,0.9102222096625642
545,178,166.5724,0.0027082774049217,0.4292349469985243
541,3,19.0365,0.0003008948545861,0.9955340263407408
513,138,243.4579,0.0,0.3194339383409675
521,45,250.2548,8.523489932885905e-05,0.9987775957329414
497,2,354.6273,0.0021872483221476,0.9694526116908432
517,2,36.9911,0.0022096196868008,0.9931720979617676
493,26,96.5264,0.0024583892617449,0.7640862696108962
513,177,215.2532,0.0035586129753914,0.7084505489585917
517,94,220.8154,0.0,0.324519615570559
512,34,226.4752,0.0016961968680089,0.9747026372862944
504,141,346.1228,0.0005894854586129,0.9219741947715124
506,57,337.8277,0.0,0.6824091032722744
518,9,27.1306,0.0,0.9565640456750844
545,108,216.7789,0.0002953020134228,0.498752506835074
545,29,7.3244,0.0020076062639821,0.9948596552747692
497,213,340.354,0.0,0.5659601682962961
518,1,276.8047,0.0,0.6122136386558973
504,137,232.7781,0.0035331096196868,0.5672097445971152
517,90,64.8885,0.0024024608501118,0.8432526247583474
534,3,91.1408,0.0002532438478747,0.9916326160738907
526,16,299.9498,0.0,0.970945509242724
512,45,216.8327,0.0012407158836689,0.910831916953273
548,158,33.8605,0.0002953020134228,0.8056452151674692
512,91,210.3623,1.5659955257270697e-06,0.911611882796922
493,98,96.3965,0.0007534675615212,0.9853889180962973
494,35,35.8101,0.0035816554809843,0.9995769331385564
501,189,25.6721,0.0026568232662192,0.4516581618406224
513,171,246.1408,0.0,0.3618941505897527
521,1,122.2116,0.0018440715883668,0.9943642940396384
501,110,301.5386,0.0,0.4218342547484437
565,30,156.3799,0.0010114093959731,0.8994414663132735
508,73,311.7267,0.0001586129753914,0.9919803124841564
493,16,25.0459,0.0010615212527964,0.798357824545929
555,189,80.1797,0.0003080536912751,0.9031936643678448
545,75,53.5375,0.0010022371364653,0.9496391554263708
501,164,160.5852,0.0020628635346756,0.9648551150927868
559,10,93.5297,0.0002756152125279,0.6639410194036397
504,82,346.7029,0.0015062639821029,0.914239134508356
519,79,286.4541,0.0013930648769574,0.8820756158587233
517,117,279.4449,0.0,0.4724274543503813
497,169,168.2101,2.237136465324385e-07,0.5818933676727668
517,28,302.0564,0.0020458612975391,0.9936710302509648
517,94,319.8328,0.0015610738255033,0.7264134004383306
504,123,262.2967,0.0,0.7963307344783527
504,206,262.2584,0.0014031319910514,0.9573530800399256
555,137,52.1126,0.0007409395973154,0.1383139649820356
555,40,159.268,0.000869351230425,0.9451605592809916
497,24,41.4056,0.0029923937360178,0.6747810680851792
526,33,83.5539,0.0,0.6616635288755127
505,13,22.0077,0.0008814317673378,0.9544682064316616
548,148,256.9517,0.0030322147651006,0.9998051752804284
517,130,40.3786,0.0008744966442953,0.968166871249301
526,12,46.5332,0.0,0.9543754228970976
519,177,274.6082,8.948545861297539e-07,0.9891380523989948
497,138,128.6562,0.0,0.3425970298469363
519,37,229.7907,4.47427293064877e-07,0.7857434651225126
499,11,341.0124,0.0014284116331096,0.9135342366937752
545,28,279.5871,0.0009583892617449,0.9759717068154332
526,97,92.8753,0.0003615212527964,0.9960636697168452
506,55,165.5213,0.0002689038031319,0.9825249107772288
555,14,287.8081,0.0025733780760626,0.8487907000712679
545,29,126.6305,0.0008123042505592,0.9843363100783388
504,100,241.8954,0.0001883668903803,0.996470808543166
508,56,205.3782,0.0011225950782997,0.9656565928530926
501,135,239.8181,0.0018749440715883,0.9311242104163672
519,99,293.6918,0.0036519015659955,0.9929330826303088
519,5,325.3479,0.0023863534675615,0.9984203006879014
493,8,189.7599,0.001707158836689,0.9463426702364643
513,31,27.6234,0.0012149888143176,0.993302059838692
501,67,162.2216,0.0002536912751677,0.9836517157801328
526,94,84.8499,0.0001988814317673,0.9830536733458316
509,18,260.9219,0.0020185682326621,0.9980577802398984
545,170,219.2843,0.001082774049217,0.9894373989079172
501,188,250.8603,0.0,0.1890740540465589
493,46,130.9146,0.0031856823266219,0.9954553107502246
501,173,279.5475,0.0008237136465324,0.9934153383447272
511,10,80.9039,0.0020599552572706,0.9975686576326448
513,52,110.9944,0.0026908277404921,0.9768367590407118
555,65,15.9748,0.0030979865771812,0.9867352279804892
515,13,247.6743,0.0,0.4498019930354849
497,200,250.3884,0.001793288590604,0.949130418248231
