exp,file_num,t_entry,motion_pre,arrival_calls,mean,std,p05,p25,dark_abs,skew
510,13,331.9813,0.0023628635346756,7,103.1348648071289,55.4061279296875,10.0,60.0,0.2460161458333333,0.0485559962689876
511,7,138.9898,0.0007489932885906,4,109.84463500976562,54.99257278442383,12.0,68.0,0.2122911458333333,-0.1659242063760757
512,1,86.0674,0.0014096196868008,1,106.47682189941406,54.7532958984375,11.0,67.0,0.2133203125,-0.0384747758507728
512,25,239.9937,6.97986577181208e-05,0,104.41818237304688,55.82168197631836,11.0,60.0,0.2464765625,0.0354736112058162
512,46,20.7719,0.0028107382550335,5,102.38737487792967,52.34818649291992,10.0,67.0,0.2163375,0.0414857268333435
512,66,215.4207,0.0005156599552572,3,102.47200775146484,53.57311630249024,10.0,64.0,0.2275078125,0.0495763085782527
512,91,352.631,5.369127516778524e-06,0,109.31497955322266,56.78731918334961,12.0,66.0,0.2144296875,-0.0098772132769227
512,97,271.1748,0.0029785234899328,8,105.68831634521484,55.38730239868164,11.0,65.0,0.226828125,0.0379380509257316
512,109,344.5492,4.026845637583893e-06,0,107.46551513671876,55.81066131591797,12.0,66.0,0.22355,-0.0038266079500317
512,114,309.8775,5.1454138702460855e-06,0,110.71125030517578,55.63745880126953,12.0,70.0,0.2028953125,-0.1239413321018219
513,27,156.4573,0.0001572706935123,5,106.84625244140624,53.15452575683594,11.0,68.0,0.2053651041666666,-0.1038596630096435
513,43,85.9799,0.0028771812080536,12,106.7158432006836,54.15977096557617,11.0,67.0,0.2198723958333333,-0.0650094971060752
513,50,76.9913,4.697986577181208e-06,6,106.55677795410156,55.85586166381836,11.0,65.0,0.2221322916666666,0.0206245295703411
513,54,124.1081,0.0,0,113.4040985107422,54.83872985839844,12.0,74.0,0.1868119791666666,-0.240580752491951
513,62,247.1966,2.237136465324385e-07,0,115.51290893554688,57.41324234008789,14.0,71.0,0.198703125,-0.2221538573503494
513,73,55.3743,0.0009597315436241,0,108.25061798095705,56.57365036010742,12.0,66.0,0.2285927083333333,-0.0373778752982616
513,95,35.8385,0.0,0,115.4462890625,56.80707931518555,12.0,74.0,0.1922744791666666,-0.2285400927066803
513,104,88.5285,6.711409395973154e-05,0,112.48377990722656,59.63143157958984,12.0,67.0,0.2190588541666666,-0.022039683535695
513,126,86.5466,0.0033131991051454,13,101.87075805664062,55.23611831665039,10.0,60.0,0.2477395833333333,0.1201526299118995
513,138,111.7755,6.711409395973154e-07,0,113.15140533447266,56.2274169921875,12.0,73.0,0.1881916666666666,-0.1354239135980606
513,147,327.1819,0.002065548098434,0,109.8154525756836,57.8904914855957,12.0,65.0,0.2229057291666666,0.039692897349596
513,172,201.2628,0.0,9,121.81063079833984,59.32672119140625,14.0,78.0,0.1858895833333333,-0.3251765668392181
513,175,254.8973,0.0,6,118.30865478515624,59.28240203857422,14.0,71.0,0.1957171875,-0.2306237965822219
513,181,97.2715,0.0,0,121.8592529296875,58.33136367797852,14.0,78.0,0.1821520833333333,-0.3891960084438324
513,187,336.1164,0.0,3,109.95128631591795,55.88789367675781,12.0,67.0,0.2185328125,-0.1372663974761963
514,12,79.363,0.0011011185682326,6,106.30011749267578,53.18891906738281,11.0,67.0,0.2004744791666666,-0.0390607975423336
514,17,139.7509,6.935123042505593e-06,2,113.96826934814452,55.36366271972656,12.0,73.0,0.1852203125,-0.2470360994338989
515,2,333.134,1.364653243847875e-05,9,107.66388702392578,55.04998779296875,12.0,67.0,0.2190442708333333,-0.0292288679629564
515,12,302.1136,0.0025447427293064,0,112.41780853271484,55.71469497680664,12.0,72.0,0.2002692708333333,-0.181505411863327
515,18,130.2336,0.0016127516778523,7,106.61471557617188,56.07096099853516,12.0,65.0,0.2143177083333333,0.0814867541193962
516,2,152.4958,0.0022718120805369,2,108.10718536376952,53.8173942565918,12.0,68.0,0.1996583333333333,-0.0780880153179168
516,5,204.2364,8.948545861297539e-07,15,111.5003433227539,55.42437362670898,12.0,71.0,0.1944125,-0.1356661170721054
516,9,125.8389,0.0018429530201342,11,107.0638427734375,53.52287292480469,11.0,68.0,0.1973963541666666,-0.0459775924682617
