exp,file_num,t_entry,motion_pre,scorer
504,138,51.5177,0.0,undergrad
513,54,124.1081,0.0,undergrad
526,31,153.6771,2.237136465324385e-07,undergrad
497,136,191.9017,0.0,undergrad
541,9,195.2265,9.30648769574944e-05,undergrad
529,8,241.5537,0.0036156599552572,undergrad
505,5,85.6057,0.0,undergrad
548,159,142.1721,0.0001026845637583,undergrad
505,156,171.8673,0.0,undergrad
505,168,212.3216,0.0,undergrad
504,130,310.4055,0.0,undergrad
505,7,183.4339,0.0,undergrad
512,113,287.4776,0.0,undergrad
515,13,281.3837,0.0017997762863534,undergrad
517,119,279.6334,0.0,undergrad
511,9,219.6791,2.237136465324385e-07,undergrad
505,6,191.1766,0.0,undergrad
516,6,259.5879,0.0,undergrad
512,113,168.6568,0.0,undergrad
505,177,59.0861,0.0,undergrad
497,134,325.7253,0.0032834451901565,undergrad
517,119,201.6208,0.0,undergrad
506,30,81.9304,0.0,undergrad
516,7,129.4555,0.0,undergrad
498,1,104.2017,0.0,undergrad
520,1,145.4411,0.0002178970917225,undergrad
505,6,203.3335,0.0,undergrad
519,128,222.2601,0.0,undergrad
501,123,259.084,0.0,undergrad
505,158,68.8656,0.0,undergrad
519,111,234.3085,0.0,undergrad
555,136,295.4501,0.0001288590604026,undergrad
516,6,236.0842,0.0,undergrad
505,157,34.8017,0.0,undergrad
501,216,148.4973,0.0,undergrad
565,116,36.6014,0.0001534675615212,undergrad
534,4,298.1121,9.395973154362418e-05,undergrad
501,194,313.8481,0.0,undergrad
522,9,108.3261,0.0,undergrad
504,138,99.3476,0.0,undergrad
518,16,109.1113,0.0,undergrad
492,10,257.5724,0.0,undergrad
514,17,141.8342,0.0018664429530201,undergrad
519,131,335.2397,0.0,undergrad
526,31,331.8908,0.0,undergrad
519,125,184.9795,0.0,undergrad
506,19,251.9534,0.0,undergrad
513,42,272.1293,0.0,undergrad
501,216,194.542,0.0,undergrad
545,106,281.6773,0.0018389261744966,undergrad
526,31,40.0239,4.47427293064877e-07,undergrad
501,190,112.535,0.0,undergrad
545,113,122.7325,1.5659955257270697e-06,undergrad
519,114,21.793,0.0,undergrad
534,4,228.9869,0.0003749440715883,undergrad
548,114,132.3414,0.0007067114093959,undergrad
545,124,170.508,2.237136465324385e-07,undergrad
497,133,125.3734,0.0025729306487695,undergrad
550,37,311.0105,0.0024666666666666,undergrad
565,115,297.4929,0.0013134228187919,undergrad
517,121,2.8289,0.0023366890380313,undergrad
512,114,159.3701,0.0,undergrad
525,6,226.1092,4.47427293064877e-07,undergrad
505,158,100.9851,0.0,undergrad
496,0,284.2508,0.0,undergrad
504,82,159.9276,0.0,undergrad
492,6,216.3495,0.0,undergrad
548,114,332.2759,6.196868008948547e-05,undergrad
492,10,190.38,0.0,undergrad
548,22,215.2042,8.948545861297539e-07,undergrad
513,95,35.8385,0.0,undergrad
505,5,117.0429,0.0,undergrad
504,137,29.1196,0.0,undergrad
544,18,259.6968,0.0006610738255033,undergrad
526,39,30.2858,4.47427293064877e-07,undergrad
504,130,183.3172,0.0,undergrad
504,185,166.317,0.0,undergrad
498,4,113.2114,0.0,undergrad
505,169,232.0847,4.47427293064877e-07,undergrad
510,16,103.4725,0.0,undergrad
517,123,46.5101,0.0,undergrad
518,2,19.9532,0.0,undergrad
519,130,178.9066,0.0,undergrad
501,186,299.0468,0.0,undergrad
517,89,148.7214,0.0,undergrad
504,125,44.1642,0.0,undergrad
545,108,257.7886,0.0002642058165548,undergrad
492,4,192.4373,2.237136465324385e-07,undergrad
505,158,167.9227,0.0,undergrad
517,94,21.3542,0.0,undergrad
492,11,322.6529,0.0,undergrad
519,204,182.708,0.0,undergrad
492,7,165.297,0.0,undergrad
526,39,196.6122,0.0,undergrad
518,16,313.8747,0.0,undergrad
534,4,319.2104,0.0001651006711409,undergrad
496,14,2.6923,0.0,undergrad
520,0,202.9889,0.0,undergrad
526,38,149.0404,0.0,undergrad
497,169,272.8498,4.47427293064877e-07,undergrad
