exp,file_num,t_entry,motion_pre,arrival_calls,cat
496,7,137.5062,3.512304250559284e-05,8,sleeping
496,7,213.1719,1.7897091722595078e-06,9,sleeping
496,8,78.5105,0.0008460850111856,0,sleeping
496,8,107.4358,0.0225525727069351,3,active
496,8,246.9238,0.0008751677852348,2,sleeping
496,9,352.1606,2.237136465324385e-07,0,sleeping
496,10,46.5371,3.131991051454139e-06,1,sleeping
496,10,148.6585,0.0203550335570469,8,active
496,11,125.7502,1.7897091722595078e-06,2,sleeping
496,11,192.9175,0.0069979865771812,4,active
496,12,281.5267,0.006959284116331,6,active
496,13,51.2792,0.0222959731543624,0,active
496,13,79.9739,0.0278961968680089,0,active
496,14,2.6923,0.0,0,empty
496,14,30.1491,0.0051536912751677,14,active
496,14,96.4219,0.0020120805369127,3,sleeping
496,15,92.7692,0.0177720357941834,6,active
496,15,115.7712,0.0383941834451901,2,active
496,15,205.4529,0.0220114093959731,7,active
496,15,294.9554,0.019334899328859,4,active
496,16,88.2615,0.0377762863534675,8,active
496,16,319.9885,0.0121818791946308,3,active
497,2,47.556,0.0161118568232662,4,active
497,2,354.6273,0.0021872483221476,4,sleeping
497,4,75.4951,0.0068930648769574,0,active
497,4,203.8415,6.711409395973154e-07,10,sleeping
497,4,348.5116,0.0002134228187919,1,sleeping
497,5,71.7137,0.0207013422818791,13,active
497,6,96.6316,0.0020085011185682,15,sleeping
497,6,105.458,0.0182523489932885,15,active
497,6,181.8306,0.0022503355704697,6,sleeping
497,6,307.1621,0.0007252796420581,1,sleeping
497,7,7.6918,0.0085170022371364,0,active
497,7,93.367,0.0011434004474272,12,sleeping
497,7,301.5805,0.0065991051454138,11,active
497,8,58.4513,0.0016357941834451,3,sleeping
497,13,97.8623,7.606263982102909e-06,2,sleeping
497,23,34.6111,0.0045834451901566,3,active
497,23,174.773,0.0020183445190156,1,sleeping
497,23,301.7989,0.0,2,empty
497,24,41.4056,0.0029923937360178,2,sleeping
497,24,47.3126,0.0278067114093959,8,active
497,24,57.5034,0.016893736017897,13,active
497,24,108.1771,0.0044351230425055,0,active
497,24,265.7952,0.0179984340044742,7,active
497,25,231.1445,0.0048836689038031,1,active
497,25,294.9167,0.0018295302013422,0,sleeping
497,27,20.8611,5.369127516778524e-06,0,sleeping
497,27,79.8119,0.0024876957494407,3,sleeping
497,27,123.7332,0.0145780760626398,3,active
497,27,356.3572,1.633109619686801e-05,0,sleeping
497,28,34.3657,0.0095456375838926,2,active
497,28,299.3162,0.0068939597315436,8,active
497,34,130.5256,0.0001187919463087,0,sleeping
497,35,129.7154,0.0004736017897091,10,sleeping
497,36,223.3957,0.0295384787472035,12,active
497,36,290.1909,0.0081505592841163,5,active
497,45,220.3267,0.0140472035794183,12,active
497,45,345.5054,0.006086577181208,3,active
497,46,306.9318,0.0192950782997762,8,active
497,47,172.541,0.0118127516778523,3,active
497,48,260.2479,0.0224901565995525,0,active
497,48,262.3259,0.0213834451901566,0,active
497,49,247.4239,0.0077823266219239,4,active
497,49,251.9128,0.0112527964205816,2,active
497,49,255.1574,0.0287736017897091,6,active
497,49,257.1336,0.0340664429530201,6,active
497,49,304.3649,0.0088496644295302,0,active
497,50,62.4939,0.0003199105145413,0,sleeping
497,53,218.9385,0.0003514541387024,1,sleeping
497,56,218.3757,0.0040331096196868,0,active
497,57,300.6423,0.0102440715883668,13,active
497,63,187.2217,0.0027015659955257,0,sleeping
497,66,246.9887,0.005317673378076,8,active
497,67,355.0703,2.416107382550336e-05,0,sleeping
497,68,177.7617,0.008258836689038,7,active
497,68,235.2631,0.0013854586129753,6,sleeping
497,68,262.0255,0.0059196868008948,1,active
497,68,352.9903,0.0006729306487695,0,sleeping
497,69,304.8058,0.0071080536912751,1,active
497,70,154.9724,2.460850111856824e-05,0,sleeping
497,71,39.6261,1.0067114093959734e-05,0,sleeping
497,71,259.8274,1.633109619686801e-05,7,sleeping
497,72,92.749,0.019134899328859,1,active
497,72,150.5333,0.0158617449664429,0,active
497,93,87.3945,0.0036527964205816,0,sleeping
497,93,210.4097,0.0021617449664429,13,sleeping
497,95,103.9465,0.0246192393736017,1,active
497,95,268.5832,0.0041677852348993,9,active
497,96,281.8009,1.812080536912752e-05,0,sleeping
497,97,144.0891,0.0060082774049217,2,active
497,97,169.8691,0.002779865771812,1,sleeping
497,97,236.1133,0.0056527964205816,0,active
497,98,91.1731,0.0003046979865771,11,sleeping
497,98,321.8531,0.0027219239373601,10,sleeping
497,103,260.5428,2.3266219239373608e-05,0,sleeping
497,103,271.0083,0.0026134228187919,2,sleeping
497,103,331.092,0.0056604026845637,1,active
497,104,155.7395,0.0015664429530201,2,sleeping
497,106,318.7067,0.0098523489932885,6,active
497,108,214.7004,0.0019089485458612,4,sleeping
497,108,283.1734,0.0006923937360178,0,sleeping
497,109,131.509,0.0,5,sleeping
497,110,26.5551,0.0005006711409395,7,sleeping
497,110,242.2261,0.0064890380313199,0,active
497,111,203.7349,6.711409395973154e-07,0,sleeping
497,112,14.0757,1.834451901565996e-05,4,sleeping
497,112,53.3379,0.0145606263982102,7,active
497,112,272.7758,1.342281879194631e-06,1,sleeping
497,113,173.4751,4.47427293064877e-07,4,sleeping
497,113,263.0695,0.0169373601789709,5,active
497,114,143.4649,4.47427293064877e-07,0,sleeping
497,115,41.2386,2.32662192393736e-05,0,sleeping
