exp,file_num,t_entry,t_out,in_tunnel,motion_pre,motion_pre_max,still_frac,motion_post,arrival_calls,arrival_rate
493,27,252.1383,252.8667,0.7284000000000219,0.0189460850111856,0.0706666666666666,0.1073825503355704,0.0293435028248587,7,2.8
493,27,264.5539,265.3,0.7461000000000126,0.0214630872483221,0.0526666666666666,0.0067114093959731,0.0280615819209039,2,0.8
493,27,348.6794,349.3,0.6206000000000245,0.0086722595078299,0.0359333333333333,0.4161073825503356,0.0183209039548022,6,2.4
493,28,56.3483,64.3333,7.984999999999992,0.0032136465324384,0.0125,0.7651006711409396,0.0278570621468926,9,3.6
493,28,245.5621,250.2,4.637900000000002,0.0310856823266219,0.0539,0.0,0.0383446327683615,3,1.2
493,28,268.0336,270.4,2.3663999999999987,0.0335472035794183,0.0604,0.0,0.0648107344632768,1,0.4
493,28,342.2668,343.4,1.133199999999988,0.0304346756152125,0.0788666666666666,0.0,0.0458372881355932,2,0.8
493,29,6.492,7.2,0.7080000000000002,0.0325796420581655,0.0731666666666666,0.046979865771812,0.0375821839080459,6,2.4
493,29,25.6458,26.4,0.7541999999999973,0.030165548098434,0.0803666666666666,0.0,0.0501694915254237,5,2.0
493,29,46.3672,49.3,2.9328000000000003,0.0178950782997762,0.0919666666666666,0.3020134228187919,0.0386355932203389,5,2.0
493,29,77.6119,78.2,0.5880999999999972,0.0380261744966443,0.0885333333333333,0.0,0.0406265536723163,5,2.0
493,29,100.1297,101.9333,1.803600000000003,0.027276062639821,0.1355,0.1543624161073825,0.0508604519774011,1,0.4
493,29,120.59,121.2,0.6099999999999994,0.0327091722595078,0.1186333333333333,0.0,0.0596937853107344,1,0.4
493,29,135.194,136.9333,1.7393000000000145,0.0165780760626398,0.0532,0.046979865771812,0.0559271186440678,0,0.0
493,29,145.7876,146.5667,0.7790999999999997,0.0266910514541387,0.0637,0.0,0.0466497175141243,7,2.8
493,29,147.8099,148.4,0.5901000000000067,0.0333695749440715,0.0847666666666666,0.0,0.0482615819209039,0,0.0
493,29,157.4386,163.4,5.961399999999998,0.0371246085011185,0.1241333333333333,0.0,0.0606107344632768,6,2.4
493,29,166.0652,166.7333,0.6681000000000097,0.0418720357941834,0.1075,0.0201342281879194,0.0514700564971751,1,0.4
493,29,195.5682,196.2667,0.6984999999999957,0.0323076062639821,0.0757333333333333,0.0,0.0486197740112994,1,0.4
493,30,12.5562,13.3333,0.777099999999999,0.0265237136465324,0.074,0.1073825503355704,0.0553553672316384,4,1.6
493,30,29.0426,29.5,0.4573999999999998,0.0052360178970917,0.0482666666666666,0.7449664429530202,0.0306090395480226,0,0.0
493,30,43.1805,44.0667,0.8861999999999952,0.0112534675615212,0.0517333333333333,0.3892617449664429,0.0309361581920903,0,0.0
493,30,50.6874,51.3333,0.6459000000000046,0.0130463087248322,0.0569666666666666,0.2885906040268456,0.0353180790960451,0,0.0
493,30,78.1066,78.7667,0.6600999999999999,0.0199590604026845,0.0589,0.1610738255033557,0.0448983050847457,0,0.0
493,30,91.4452,92.1,0.6547999999999945,0.0199527964205816,0.0787333333333333,0.1073825503355704,0.0387508474576271,1,0.4
493,30,120.8128,121.7,0.8872000000000071,0.0438384787472035,0.0868666666666666,0.0,0.0623135593220339,4,1.6
493,30,122.4,123.6333,1.2332999999999998,0.0461031319910514,0.0868666666666666,0.0,0.0614474576271186,9,3.6
493,30,230.91,233.0,2.0900000000000034,0.0129201342281879,0.0581333333333333,0.2818791946308724,0.0358677966101694,0,0.0
493,30,243.5473,244.3333,0.7860000000000014,0.0267854586129753,0.0646,0.0067114093959731,0.0429175141242937,8,3.2
493,30,245.4731,246.0667,0.5936000000000092,0.0319961968680089,0.0723666666666666,0.0067114093959731,0.0410615819209039,5,2.0
493,30,252.4394,253.1,0.6605999999999881,0.0342541387024608,0.0775333333333333,0.0,0.0519497175141243,1,0.4
493,31,157.4801,158.9333,1.4532000000000096,0.0061194630872483,0.0327,0.5838926174496645,0.0222372881355932,3,1.2
493,31,293.5041,294.8667,1.3625999999999865,0.0071364653243847,0.0261,0.3691275167785235,0.0256429378531073,7,2.8
493,31,322.3557,323.2333,0.8775999999999726,0.011097091722595,0.0318,0.1073825503355704,0.0263774011299435,0,0.0
493,32,23.3746,23.9667,0.5920999999999985,0.0036559284116331,0.0123666666666666,0.7583892617449665,0.0183706214689265,5,2.0
493,32,48.5907,49.3,0.7092999999999989,0.0059378076062639,0.0165333333333333,0.4228187919463087,0.0204785310734463,8,3.2
493,32,103.6399,104.3333,0.6933999999999969,0.0081919463087248,0.0673333333333333,0.5771812080536913,0.0366361581920903,2,0.8
493,32,146.5274,147.1667,0.6392999999999915,0.0039472035794183,0.0114,0.7114093959731543,0.014374011299435,0,0.0
493,32,158.5117,159.2333,0.7216000000000236,0.0077364653243847,0.0374666666666666,0.5436241610738255,0.0184903954802259,8,3.2
493,32,177.6737,178.4333,0.759600000000006,0.0038568232662192,0.0109,0.6778523489932886,0.0183045197740113,3,1.2
493,32,270.7944,271.5667,0.7723000000000297,0.0038919463087248,0.0157333333333333,0.6644295302013423,0.0215344632768361,0,0.0
493,32,300.3083,300.9667,0.6584000000000287,0.0051333333333333,0.0114666666666666,0.5167785234899329,0.0146050847457627,1,0.4
493,32,348.6495,349.2667,0.6172000000000253,0.0103510067114094,0.0352333333333333,0.2684563758389262,0.0263593220338983,5,2.0
493,33,1.7677,2.5333,0.7656000000000001,0.0186214765100671,0.0776333333333333,0.1208053691275167,0.0299807909604519,1,0.4
493,33,26.8851,27.6,0.7149000000000001,0.0064451901565995,0.0337,0.5234899328859061,0.0266412429378531,0,0.0
493,33,39.3525,40.9667,1.614200000000004,0.0085492170022371,0.0409666666666666,0.4899328859060403,0.0263412429378531,17,6.8
493,33,52.7529,53.3667,0.6138000000000048,0.0244532438478747,0.0661666666666666,0.0067114093959731,0.0291079096045197,1,0.4
493,33,71.5998,72.3,0.7001999999999953,0.0177854586129753,0.0551666666666666,0.1677852348993288,0.042257627118644,5,2.0
493,33,79.0711,81.1667,2.095600000000005,0.0210982102908277,0.0937333333333333,0.2751677852348993,0.0461305084745762,2,0.8
493,33,97.426,98.2333,0.8072999999999979,0.0230089485458612,0.0544333333333333,0.1208053691275167,0.0385807909604519,2,0.8
